"","genres"
"243","latin,latin pop"
"244","electro house"
"245","sertanejo,sertanejo pop"
"246","sertanejo,sertanejo pop,sertanejo universitario"
"247","axe,forro,sertanejo pop"
"248","brazilian electronica,sertanejo,sertanejo pop,sertanejo universitario"
"249","baile pop"
"250","pop"
"251",""
"252","sertanejo"
"253","deep funk carioca"
"254","sertanejo,sertanejo universitario"
"255","nova mpb"
"256","sertanejo universitario"
"257","latin,reggaeton"
"258","baile pop,brazilian electronica,deep funk carioca"
"259",""
"260","big room,dance pop,edm,electro house,pop,progressive electro house,tropical house"
"261","sertanejo pop,sertanejo universitario"
"262","sertanejo universitario"
"263","sertanejo pop,sertanejo universitario"
"264","deep funk carioca"
"265","sertanejo universitario"
"266","axe,baile pop,mpb,pagode"
"267","brazilian electronica,sertanejo pop,sertanejo universitario"
"268","sertanejo,sertanejo pop,sertanejo universitario"
"269","baile pop"
"270","sertanejo"
"271","sertanejo,sertanejo universitario"
"272","baile pop,brazilian electronica,deep funk carioca,funk carioca"
"273","detroit hip hop,g funk,hip hop,rap"
"274","brostep,egyptian pop,pop,progressive electro house"
"275","sertanejo,sertanejo pop,sertanejo universitario"
"276","brazilian electronica,deep funk carioca"
"277","pagode,sertanejo,sertanejo pop,sertanejo universitario"
"278","forro"
"279","dance pop,pop,post-teen pop"
"280","edm,electropop,pop,tropical house"
"281","dance pop,pop,post-teen pop"
"282","sertanejo,sertanejo pop"
"283","pop,post-teen pop"
"284","pop"
"285","dance pop,pop,post-teen pop,r&b"
"286","modern rock,rock,vegas indie"
"287","brazilian electronica,deep funk carioca"
"288","dance pop,electropop,pop,post-teen pop"
"289","sertanejo,sertanejo pop,sertanejo universitario"
"290","baile pop,brazilian electronica,deep funk carioca"
"291","reggaeton"
"292","baile pop,brazilian electronica,deep funk carioca"
"293","sertanejo universitario"
"294","electro house"
"295",""
"296","sertanejo universitario"
"297","emo rap"
"298","sertanejo pop,sertanejo universitario"
"299","deep funk carioca"
"300","baile pop,brazilian electronica,deep funk carioca"
"301","brazilian electronica,deep funk carioca"
"302","sertanejo"
"303","pagode,sertanejo,sertanejo pop,sertanejo universitario"
"304","sertanejo,sertanejo pop,sertanejo universitario"
"305","latin,latin pop"
"306","canadian pop,dance pop,pop,post-teen pop,viral pop"
"307","brazilian electronica,deep funk carioca"
"308","electro house"
"309","pop"
"310","deep funk carioca"
"311","sertanejo,sertanejo pop,sertanejo universitario"
"312","sertanejo,sertanejo pop,sertanejo universitario"
"313",""
"314","brazilian hip hop"
"315","brazilian electronica,pagode,sertanejo,sertanejo pop,sertanejo universitario"
"316","baile pop,brazilian electronica,deep funk carioca,funk carioca"
"317","deep funk carioca"
"318","baile pop,sertanejo pop,sertanejo universitario"
"319","pop,rap"
"320","hip hop"
"321","dance pop,hip hop,pop,pop rap,r&b,rap,southern hip hop,trap music"
"322","dance pop,pop,post-teen pop,viral pop"
"323","edm,electro house,house,pop,progressive house"
"324","edm,electropop,pop,tropical house"
"325","deep funk carioca"
"326","dance pop,pop,post-teen pop,r&b"
"327","big room,dance pop,edm,pop,tropical house"
"328","modern rock,rock,vegas indie"
"329","brazilian electronica"
"330","boy band,latin,latin pop,pop,reggaeton,tropical"
"331","dance pop,latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"332","sertanejo universitario"
"333","brazilian electronica,sertanejo,sertanejo pop,sertanejo universitario"
"334","sertanejo,sertanejo pop,sertanejo universitario"
"335","forro,sertanejo pop"
"336","sertanejo,sertanejo pop,sertanejo tradicional,sertanejo universitario"
"337","conscious hip hop,hip hop,pop rap,rap"
"338","canadian pop,dance pop,pop,post-teen pop"
"339","pop rap,rap,trap music"
"340","brazilian electronica,brazilian hip hop"
"341","k-pop"
"342","pop,post-teen pop"
"343","forro"
"344","reggaeton"
"345","hip hop,indie pop rap,pop,pop rap,rap"
"346","brazilian hip hop"
"347","pagode,sertanejo,sertanejo pop,sertanejo universitario"
"348","pagode,sertanejo,sertanejo pop,sertanejo universitario"
"349","sertanejo universitario"
"350","forro"
"351","sertanejo universitario"
"352","sertanejo universitario"
"353","pop"
"354","deep funk carioca"
"355","sertanejo,sertanejo universitario"
"356","sertanejo,sertanejo universitario"
"357","canadian pop,dance pop,pop,post-teen pop,viral pop"
"358","dance pop,pop,post-teen pop"
"359","baile pop"
"360","dance pop,edm,pop"
"361","sertanejo,sertanejo pop,sertanejo universitario"
"362","latin,latin pop"
"363","dance pop,pop,post-teen pop"
"364","brazilian electronica"
"365","sertanejo pop,sertanejo universitario"
"366","sertanejo pop"
"367","dance pop,pop,post-teen pop"
"368","sertanejo pop,sertanejo universitario"
"369","big room,edm,pop"
"370","brazilian hip hop"
"371","pop"
"372","brazilian electronica,brazilian hip hop"
"373","sertanejo,sertanejo pop,sertanejo universitario"
"374","brazilian electronica,sertanejo,sertanejo pop,sertanejo universitario"
"375","baile pop,brazilian electronica,deep funk carioca"
"376","sertanejo pop,sertanejo universitario"
"377","conscious hip hop,hip hop,pop rap,rap,west coast rap"
"378","brazilian electronica,sertanejo pop"
"379","colombian pop,dance pop,latin,latin pop,mexican pop,pop"
"380",""
"381","pagode,sertanejo universitario"
"382","big room,edm,pop"
"383","baile pop"
"384","sertanejo"
"385","latin,reggaeton"
"386","canadian pop,pop,rap"
"387",""
"388","sertanejo universitario"
"389","brazilian electronica,deep funk carioca"
"390","complextro,dance pop,edm,german techno,pop,post-teen pop,tropical house"
"391","indie pop,modern alternative rock,modern rock,neo-psychedelic"
"392","brazilian electronica,deep funk carioca"
"393","edm,electropop,pop,tropical house"
"394","canadian hip hop,canadian pop,hip hop,pop rap,rap"
"395","deep tropical house,tropical house"
"396","brazilian electronica,sertanejo,sertanejo pop,sertanejo universitario"
"397","deep funk carioca"
"398","hip hop,pop,pop rap,rap,southern hip hop,trap music"
