"","genres"
"259","brostep,deep big room,edm,electro house,electronic trap,moombahton"
"260","dance pop,pop,post-teen pop"
"261","argentine hip hop,trap argentino,trap latino"
"262","latin,latin hip hop,reggaeton,trap latino,tropical"
"263","latin alternative,latin pop"
"264","pop,rap"
"265","colombian pop,latin,latin pop,pop,reggaeton,tropical"
"266","reggaeton flow,trap latino"
"267","argentine hip hop,trap argentino"
"268","latin,latin hip hop,reggaeton,reggaeton flow,tropical"
"269","reggaeton,trap latino"
"270","latin,latin pop,tropical"
"271","latin,latin hip hop,pop,reggaeton,tropical"
"272","latin,latin pop,latin viral pop,mexican pop"
"273","latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"274","colombian pop,latin,latin pop"
"275","latin,latin hip hop,reggaeton flow,trap latino,tropical"
"276","emo rap"
"277","boy band,latin,latin pop,pop,reggaeton,tropical"
"278","latin,latin arena pop,latin pop,spanish pop"
"279","pop,post-teen pop"
"280","latin,latin hip hop,pop,reggaeton,tropical"
"281","latin,reggaeton"
"282","pop,post-teen pop"
"283","reggaeton,trap latino"
"284","latin,latin hip hop,reggaeton,trap latino,tropical"
"285","latin pop,reggaeton"
"286","latin,latin hip hop,pop,reggaeton,tropical"
"287","canadian pop,pop,rap"
"288","reggaeton"
"289","latin,reggaeton flow,trap latino,tropical"
"290","pop"
"291","chillstep,edm,indie poptimism,pop,tropical pop edm"
"292","dance pop,electropop,pop,post-teen pop"
"293","colombian pop,latin,latin pop,rock cristiano"
"294","latin,latin hip hop,reggaeton,trap latino,tropical"
"295","latin,latin hip hop,reggaeton,reggaeton flow,trap latino,tropical"
"296","colombian pop,dance pop,latin,latin pop,mexican pop,pop"
"297","latin,reggaeton flow,trap latino,tropical"
"298","dance pop,latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"299","bachata,latin,tropical"
"300","pop,post-teen pop"
"301","dance pop,electro latino,latin,latin hip hop,latin pop,pop,pop reggaeton,reggaeton,tropical"
"302","pop"
"303","dance pop,latin,latin pop,mexican pop,tropical"
"304","latin,latin hip hop,reggaeton,reggaeton flow,tropical"
"305","chilean indie,chilean rock,cumbia chilena"
"306","latin,latin hip hop,pop,reggaeton,tropical"
"307","latin,latin pop"
"308","latin,latin hip hop,reggaeton,trap latino,tropical"
"309","colombian pop,latin pop"
"310","latin,latin hip hop,reggaeton,reggaeton flow,trap latino,tropical"
"311","reggaeton flow,trap latino"
"312","chilean indie,chilean rock,cumbia chilena,latin rock,nueva cancion"
"313","modern rock,rock,vegas indie"
"314","latin,latin arena pop,latin pop,spanish pop"
"315","latin alternative,latin pop"
"316","latin pop,reggaeton"
"317","reggaeton,trap latino"
"318","cumbia pop"
"319","dance pop,latin,latin pop,pop,tropical"
"320","dance pop,pop,post-teen pop,viral pop"
"321","reggaeton,trap latino"
"322","pop"
"323","cubaton,reggaeton"
"324","colombian pop,dance pop,latin,latin pop,mexican pop,pop"
"325","reggaeton,trap latino"
"326","dance pop,latin,latin pop,pop,tropical"
"327","dance pop,latin,latin arena pop,latin pop,latin viral pop,mexican pop,pop"
"328","canadian hip hop,canadian pop,hip hop,pop rap,rap"
"329","chilean indie,chilean rock,cumbia chilena"
"330","latin,reggaeton"
"331","modern rock,rock,vegas indie"
"332","latin pop,reggaeton"
"333","reggaeton,trap latino"
"334","dance pop,pop,post-teen pop,viral pop"
"335","latin,reggaeton flow,trap latino,tropical"
"336","reggaeton,trap latino"
"337",""
"338","cumbia pop"
"339","latin arena pop,latin pop,latin viral pop,spanish pop"
"340","dembow,latin,rap dominicano,reggaeton flow,tropical"
"341","edm,electropop,pop,tropical house"
"342","cumbia chilena"
"343","canadian pop,dance pop,pop,post-teen pop,viral pop"
"344",""
"345","reggaeton"
"346","dance pop,pinoy hip hop,pop,pop rap,post-teen pop,r&b"
"347","latin,reggaeton"
"348","edm,electropop,pop,tropical house"
"349","reggaeton flow,trap latino"
"350","reggaeton,trap latino"
"351","latin,latin pop,tropical"
"352","reggaeton flow,trap latino"
"353","dance pop,latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"354","reggaeton,trap latino"
"355","colombian pop,latin pop"
"356","edm,electro house,house,pop,progressive house"
"357","argentine hip hop,trap argentino"
"358","latin hip hop,reggaeton flow,trap latino,tropical"
"359","dance pop,pop,post-teen pop,viral pop"
"360","detroit hip hop,g funk,hip hop,rap"
"361","dance pop,latin,pop,pop rap"
"362","dance pop,edm,electronic trap,pop,tropical house"
"363","dance pop,edm,pop,post-teen pop,tropical house,uk funky"
"364","colombian pop,latin,latin pop,pop reggaeton,vallenato"
"365","cumbia chilena"
